latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
53.391914,-1.3714294,75,0,Europe/London,GMT
,,,,,
time,temperature_2m (?C),relative_humidity_2m (%),wind_speed_10m (km/h),,
2023-01-01T00:00,8.6,89,20.8,,
2023-01-01T01:00,9,88,27.7,,
2023-01-01T02:00,8.9,84,29.2,,
2023-01-01T03:00,8.1,81,30.1,,
2023-01-01T04:00,7.5,82,28.3,,
2023-01-01T05:00,7.1,84,28.6,,
2023-01-01T06:00,7.2,83,29.8,,
2023-01-01T07:00,7.2,83,28.9,,
2023-01-01T08:00,7.3,82,27.2,,
2023-01-01T09:00,7.4,82,27.5,,
2023-01-01T10:00,8.4,78,26,,
2023-01-01T11:00,8.9,77,24.3,,
2023-01-01T12:00,9.6,77,25.4,,
2023-01-01T13:00,9.8,77,25,,
2023-01-01T14:00,9.5,79,22.4,,
2023-01-01T15:00,9.2,79,22.6,,
2023-01-01T16:00,8.5,83,18.7,,
2023-01-01T17:00,8.2,84,16.7,,
2023-01-01T18:00,8,85,16.5,,
2023-01-01T19:00,7.7,87,16.6,,
2023-01-01T20:00,7.4,87,16.6,,
2023-01-01T21:00,7.2,89,18.3,,
2023-01-01T22:00,7.1,90,18.5,,
2023-01-01T23:00,6.9,90,18.2,,
2023-01-02T00:00,6.1,90,13.8,,
2023-01-02T01:00,5.8,91,13.5,,
2023-01-02T02:00,5.6,88,14.3,,
2023-01-02T03:00,6.1,87,14,,
2023-01-02T04:00,6,89,13.7,,
2023-01-02T05:00,5.4,89,14,,
2023-01-02T06:00,4.9,88,11.5,,
2023-01-02T07:00,4.2,90,10.8,,
2023-01-02T08:00,3,90,6.2,,
2023-01-02T09:00,2.4,89,7.9,,
2023-01-02T10:00,3.8,81,12.4,,
2023-01-02T11:00,5.1,74,11.5,,
2023-01-02T12:00,6.2,66,11.9,,
2023-01-02T13:00,6.3,66,13.7,,
2023-01-02T14:00,6.1,71,11.7,,
2023-01-02T15:00,5.2,77,7,,
2023-01-02T16:00,2.5,88,6.9,,
2023-01-02T17:00,1.7,91,6.6,,
2023-01-02T18:00,1.1,93,7.6,,
2023-01-02T19:00,0.5,94,7.4,,
2023-01-02T20:00,0.2,94,7.9,,
2023-01-02T21:00,0.2,94,8.5,,
2023-01-02T22:00,0.1,95,8.5,,
2023-01-02T23:00,0,95,9.4,,
2023-01-03T00:00,0.1,93,9.7,,
2023-01-03T01:00,0,92,11.4,,
2023-01-03T02:00,0.1,92,11.9,,
2023-01-03T03:00,0.2,94,11.3,,
2023-01-03T04:00,0.4,94,12.3,,
2023-01-03T05:00,1.2,94,16.2,,
2023-01-03T06:00,2,95,18,,
2023-01-03T07:00,3,95,19.2,,
2023-01-03T08:00,4.1,95,21.2,,
2023-01-03T09:00,5.6,91,24.5,,
2023-01-03T10:00,7.1,90,27.5,,
2023-01-03T11:00,7.9,92,25.1,,
2023-01-03T12:00,8.5,92,22,,
2023-01-03T13:00,9.2,91,22,,
2023-01-03T14:00,9.4,92,23.8,,
2023-01-03T15:00,9.5,91,24.7,,
2023-01-03T16:00,9.7,89,27.5,,
2023-01-03T17:00,10.1,89,30.6,,
2023-01-03T18:00,10.1,91,30.1,,
2023-01-03T19:00,10.5,91,27.2,,
2023-01-03T20:00,10.9,90,26.9,,
2023-01-03T21:00,11.3,90,26.6,,
2023-01-03T22:00,11.8,89,26.2,,
2023-01-03T23:00,12,88,31.5,,
2023-01-04T00:00,12.1,88,36.5,,
2023-01-04T01:00,12.2,88,37.2,,
