Hourly measurement data supplied by UK-air on 22/12/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Barnsley Road",,"Sheffield Devonshire Green",,"Sheffield Tinsley",
Latitude,,53.404950,,53.378622,,53.410580,,
Longitude,,-1.455815,,-1.478096,,-1.396139,,
Site Type,,Urban Traffic,,Urban Background,,Urban Background,,
Zone,,Yorkshire & Humberside,,Yorkshire & Humberside,,Yorkshire & Humberside,,
Agglomeration,,Sheffield Urban Area,,Sheffield Urban Area,,Sheffield Urban Area,,
Local Authority,,"Sheffield",,"Sheffield",,"Sheffield",,
Date,Time,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2023-01-01,01:00:00,16,V ugm-3 (BAM),4.741,V ugm-3 (Ref.eq),4.717,V ugm-3 (Ref.eq)
2023-01-01,02:00:00,5,V ugm-3 (BAM),2.123,V ugm-3 (Ref.eq),2.075,V ugm-3 (Ref.eq)
2023-01-01,03:00:00,2,V ugm-3 (BAM),1.792,V ugm-3 (Ref.eq),1.863,V ugm-3 (Ref.eq)
2023-01-01,04:00:00,2,V ugm-3 (BAM),2.17,V ugm-3 (Ref.eq),1.981,V ugm-3 (Ref.eq)
2023-01-01,05:00:00,0,V ugm-3 (BAM),1.934,V ugm-3 (Ref.eq),2.005,V ugm-3 (Ref.eq)
2023-01-01,06:00:00,1,V ugm-3 (BAM),2.241,V ugm-3 (Ref.eq),2.382,V ugm-3 (Ref.eq)
2023-01-01,07:00:00,1,V ugm-3 (BAM),3.042,V ugm-3 (Ref.eq),3.302,V ugm-3 (Ref.eq)
2023-01-01,08:00:00,2,V ugm-3 (BAM),3.443,V ugm-3 (Ref.eq),3.373,V ugm-3 (Ref.eq)
2023-01-01,09:00:00,2,V ugm-3 (BAM),3.113,V ugm-3 (Ref.eq),3.278,V ugm-3 (Ref.eq)
2023-01-01,10:00:00,4,V ugm-3 (BAM),3.491,V ugm-3 (Ref.eq),3.467,V ugm-3 (Ref.eq)
2023-01-01,11:00:00,5,V ugm-3 (BAM),3.797,V ugm-3 (Ref.eq),4.552,V ugm-3 (Ref.eq)
2023-01-01,12:00:00,3,V ugm-3 (BAM),3.443,V ugm-3 (Ref.eq),4.009,V ugm-3 (Ref.eq)
2023-01-01,13:00:00,2,V ugm-3 (BAM),2.877,V ugm-3 (Ref.eq),3.561,V ugm-3 (Ref.eq)
2023-01-01,14:00:00,3,V ugm-3 (BAM),2.854,V ugm-3 (Ref.eq),2.972,V ugm-3 (Ref.eq)
2023-01-01,15:00:00,6,V ugm-3 (BAM),4.575,V ugm-3 (Ref.eq),4.859,V ugm-3 (Ref.eq)
2023-01-01,16:00:00,5,V ugm-3 (BAM),5.047,V ugm-3 (Ref.eq),5.401,V ugm-3 (Ref.eq)
2023-01-01,17:00:00,7,V ugm-3 (BAM),4.127,V ugm-3 (Ref.eq),4.481,V ugm-3 (Ref.eq)
2023-01-01,18:00:00,6,V ugm-3 (BAM),7.076,V ugm-3 (Ref.eq),6.156,V ugm-3 (Ref.eq)
2023-01-01,19:00:00,14,V ugm-3 (BAM),11.156,V ugm-3 (Ref.eq),8.75,V ugm-3 (Ref.eq)
2023-01-01,20:00:00,9,V ugm-3 (BAM),7.17,V ugm-3 (Ref.eq),7.453,V ugm-3 (Ref.eq)
2023-01-01,21:00:00,11,V ugm-3 (BAM),10.236,V ugm-3 (Ref.eq),8.019,V ugm-3 (Ref.eq)
2023-01-01,22:00:00,11,V ugm-3 (BAM),10.377,V ugm-3 (Ref.eq),8.703,V ugm-3 (Ref.eq)
2023-01-01,23:00:00,8,V ugm-3 (BAM),7.264,V ugm-3 (Ref.eq),6.203,V ugm-3 (Ref.eq)
2023-01-01,24:00:00,8,V ugm-3 (BAM),4.575,V ugm-3 (Ref.eq),5.189,V ugm-3 (Ref.eq)
2023-01-02,01:00:00,8,V ugm-3 (BAM),4.882,V ugm-3 (Ref.eq),4.575,V ugm-3 (Ref.eq)
2023-01-02,02:00:00,6,V ugm-3 (BAM),4.953,V ugm-3 (Ref.eq),4.67,V ugm-3 (Ref.eq)
2023-01-02,03:00:00,6,V ugm-3 (BAM),4.788,V ugm-3 (Ref.eq),5.519,V ugm-3 (Ref.eq)
2023-01-02,04:00:00,6,V ugm-3 (BAM),3.255,V ugm-3 (Ref.eq),4.387,V ugm-3 (Ref.eq)
2023-01-02,05:00:00,3,V ugm-3 (BAM),2.123,V ugm-3 (Ref.eq),2.193,V ugm-3 (Ref.eq)
2023-01-02,06:00:00,2,V ugm-3 (BAM),2.877,V ugm-3 (Ref.eq),2.736,V ugm-3 (Ref.eq)
2023-01-02,07:00:00,3,V ugm-3 (BAM),2.241,V ugm-3 (Ref.eq),2.925,V ugm-3 (Ref.eq)
2023-01-02,08:00:00,3,V ugm-3 (BAM),1.557,V ugm-3 (Ref.eq),2.005,V ugm-3 (Ref.eq)
2023-01-02,09:00:00,4,V ugm-3 (BAM),1.392,V ugm-3 (Ref.eq),1.439,V ugm-3 (Ref.eq)
2023-01-02,10:00:00,4,V ugm-3 (BAM),1.038,V ugm-3 (Ref.eq),1.274,V ugm-3 (Ref.eq)
2023-01-02,11:00:00,1,V ugm-3 (BAM),1.156,V ugm-3 (Ref.eq),1.509,V ugm-3 (Ref.eq)
2023-01-02,12:00:00,-1,V ugm-3 (BAM),1.226,V ugm-3 (Ref.eq),1.321,V ugm-3 (Ref.eq)
2023-01-02,13:00:00,0,V ugm-3 (BAM),1.415,V ugm-3 (Ref.eq),1.651,V ugm-3 (Ref.eq)
2023-01-02,14:00:00,5,V ugm-3 (BAM),1.557,V ugm-3 (Ref.eq),1.934,V ugm-3 (Ref.eq)
2023-01-02,15:00:00,7,V ugm-3 (BAM),2.311,V ugm-3 (Ref.eq),3.09,V ugm-3 (Ref.eq)
2023-01-02,16:00:00,10,V ugm-3 (BAM),2.193,V ugm-3 (Ref.eq),3.443,V ugm-3 (Ref.eq)
2023-01-02,17:00:00,25,V ugm-3 (BAM),6.132,V ugm-3 (Ref.eq),6.462,V ugm-3 (Ref.eq)
2023-01-02,18:00:00,18,V ugm-3 (BAM),15.566,V ugm-3 (Ref.eq),9.151,V ugm-3 (Ref.eq)
2023-01-02,19:00:00,25,V ugm-3 (BAM),19.127,V ugm-3 (Ref.eq),11.887,V ugm-3 (Ref.eq)
2023-01-02,20:00:00,27,V ugm-3 (BAM),13.066,V ugm-3 (Ref.eq),15,V ugm-3 (Ref.eq)
2023-01-02,21:00:00,24,V ugm-3 (BAM),15.66,V ugm-3 (Ref.eq),21.627,V ugm-3 (Ref.eq)
2023-01-02,22:00:00,23,V ugm-3 (BAM),13.962,V ugm-3 (Ref.eq),20,V ugm-3 (Ref.eq)
2023-01-02,23:00:00,21,V ugm-3 (BAM),12.264,V ugm-3 (Ref.eq),14.741,V ugm-3 (Ref.eq)
2023-01-02,24:00:00,20,V ugm-3 (BAM),11.509,V ugm-3 (Ref.eq),14.269,V ugm-3 (Ref.eq)
2023-01-03,01:00:00,16,V ugm-3 (BAM),10.59,V ugm-3 (Ref.eq),17.264,V ugm-3 (Ref.eq)
2023-01-03,02:00:00,14,V ugm-3 (BAM),11.297,V ugm-3 (Ref.eq),18.302,V ugm-3 (Ref.eq)
2023-01-03,03:00:00,14,V ugm-3 (BAM),12.854,V ugm-3 (Ref.eq),17.028,V ugm-3 (Ref.eq)
2023-01-03,04:00:00,17,V ugm-3 (BAM),17.736,V ugm-3 (Ref.eq),15.731,V ugm-3 (Ref.eq)
2023-01-03,05:00:00,17,V ugm-3 (BAM),17.854,V ugm-3 (Ref.eq),14.222,V ugm-3 (Ref.eq)
2023-01-03,06:00:00,21,V ugm-3 (BAM),14.127,V ugm-3 (Ref.eq),12.241,V ugm-3 (Ref.eq)
2023-01-03,07:00:00,11,V ugm-3 (BAM),11.344,V ugm-3 (Ref.eq),12.406,V ugm-3 (Ref.eq)
2023-01-03,08:00:00,11,V ugm-3 (BAM),9.811,V ugm-3 (Ref.eq),10.613,V ugm-3 (Ref.eq)
2023-01-03,09:00:00,9,V ugm-3 (BAM),8.703,V ugm-3 (Ref.eq),10.708,V ugm-3 (Ref.eq)
2023-01-03,10:00:00,7,V ugm-3 (BAM),6.439,V ugm-3 (Ref.eq),8.774,V ugm-3 (Ref.eq)
2023-01-03,11:00:00,7,V ugm-3 (BAM),3.892,V ugm-3 (Ref.eq),4.953,V ugm-3 (Ref.eq)
2023-01-03,12:00:00,6,V ugm-3 (BAM),4.717,V ugm-3 (Ref.eq),8.231,V ugm-3 (Ref.eq)
2023-01-03,13:00:00,4,V ugm-3 (BAM),5.637,V ugm-3 (Ref.eq),8.491,V ugm-3 (Ref.eq)
2023-01-03,14:00:00,3,V ugm-3 (BAM),2.429,V ugm-3 (Ref.eq),5.896,V ugm-3 (Ref.eq)
2023-01-03,15:00:00,12,V ugm-3 (BAM),2.382,V ugm-3 (Ref.eq),8.609,V ugm-3 (Ref.eq)
2023-01-03,16:00:00,7,V ugm-3 (BAM),2.429,V ugm-3 (Ref.eq),6.792,V ugm-3 (Ref.eq)
2023-01-03,17:00:00,1,V ugm-3 (BAM),2.5,V ugm-3 (Ref.eq),3.491,V ugm-3 (Ref.eq)
2023-01-03,18:00:00,3,V ugm-3 (BAM),2.359,V ugm-3 (Ref.eq),2.925,V ugm-3 (Ref.eq)
2023-01-03,19:00:00,5,V ugm-3 (BAM),2.123,V ugm-3 (Ref.eq),3.373,V ugm-3 (Ref.eq)
2023-01-03,20:00:00,7,V ugm-3 (BAM),1.627,V ugm-3 (Ref.eq),2.972,V ugm-3 (Ref.eq)
2023-01-03,21:00:00,7,V ugm-3 (BAM),1.321,V ugm-3 (Ref.eq),2.406,V ugm-3 (Ref.eq)
2023-01-03,22:00:00,4,V ugm-3 (BAM),0.708,V ugm-3 (Ref.eq),3.325,V ugm-3 (Ref.eq)
2023-01-03,23:00:00,2,V ugm-3 (BAM),0.401,V ugm-3 (Ref.eq),1.557,V ugm-3 (Ref.eq)
2023-01-03,24:00:00,0,V ugm-3 (BAM),0.33,V ugm-3 (Ref.eq),0.708,V ugm-3 (Ref.eq)
2023-01-04,01:00:00,1,V ugm-3 (BAM),0.283,V ugm-3 (Ref.eq),0.778,V ugm-3 (Ref.eq)
2023-01-04,02:00:00,2,V ugm-3 (BAM),0.236,V ugm-3 (Ref.eq),0.566,V ugm-3 (Ref.eq)
2023-01-04,03:00:00,0,V ugm-3 (BAM),0.142,V ugm-3 (Ref.eq),0.472,V ugm-3 (Ref.eq)
2023-01-04,04:00:00,-3,V ugm-3 (BAM),0.189,V ugm-3 (Ref.eq),0.401,V ugm-3 (Ref.eq)
2023-01-04,05:00:00,-3,V ugm-3 (BAM),0.802,V ugm-3 (Ref.eq),1.014,V ugm-3 (Ref.eq)
2023-01-04,06:00:00,3,V ugm-3 (BAM),2.854,V ugm-3 (Ref.eq),3.255,V ugm-3 (Ref.eq)
2023-01-04,07:00:00,3,V ugm-3 (BAM),3.844,V ugm-3 (Ref.eq),4.717,V ugm-3 (Ref.eq)
2023-01-04,08:00:00,5,V ugm-3 (BAM),6.132,V ugm-3 (Ref.eq),6.958,V ugm-3 (Ref.eq)
2023-01-04,09:00:00,6,V ugm-3 (BAM),5.566,V ugm-3 (Ref.eq),6.627,V ugm-3 (Ref.eq)
